Physical Security Measure ID #,Deficiency / Conforming,FacilityID,Lat,Long,Facility type,Post Name,RFA ID,Building Name,RFAType,Measure ID,Description,Description_Short,PVThreat,Tthreat,Cthreat,Region,Country
35,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,149,Upgrade Safe haven(s) doors to meet safe haven door standards ,,Alpha,Charlie,Bravo,Northeast,
36,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,150,"Upgrade safe haven to have emergency power, ventilation and lighting ",,Alpha,Charlie,Bravo,Northeast,
37,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,151,Upgrade safe haven to have secured storage for emergency supplies ,,Alpha,Charlie,Bravo,Northeast,
38,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,164,"Upgrade Compound with sufficient CESs, or CES space ",,Alpha,Charlie,Bravo,Northeast,
39,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,190,Upgrade Residence with a secondary means of exit in the event of fire or other life threatening emergency. ,,Alpha,Charlie,Bravo,Northeast,
40,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,8,Upgrade perimeter fences or walls to deny access to warehouse roof ,,Alpha,Charlie,Bravo,Northeast,
41,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,16,GSO review options to obtain sufficent setback distance for facility to meet 65' OSPB requirements. ,,Alpha,Charlie,Bravo,Northeast,
42,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,45,"Add Vehicle barrier does have emergency override, visual indication of barrier status, or barrier height is equal or greater than 36 inches ",,Alpha,Charlie,Bravo,Northeast,
43,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,59,Upgrade building exterior surfaces lighting ,,Alpha,Charlie,Bravo,Northeast,
44,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,85,Upgrade building exterior walls construction to substantial material construction ,,Alpha,Charlie,Bravo,Northeast,
45,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,80,Conduct a blast vulnerability study ,,Alpha,Charlie,Bravo,Northeast,
46,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Charlie,Bravo,Northeast,
47,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Alpha,Charlie,Bravo,Northeast,
48,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,102,Upgrade roll-up-down doors with doors of substantial material ,,Alpha,Charlie,Bravo,Northeast,
49,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Charlie,Bravo,Northeast,
50,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Charlie,Bravo,Northeast,
51,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Charlie,Bravo,Northeast,
52,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Charlie,Bravo,Northeast,
53,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,165,Upgrade CES in warehouse or in close proximity to warehouse ,,Alpha,Charlie,Bravo,Northeast,
54,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,8,Upgrade perimeter fences or walls to deny access to warehouse roof ,,Alpha,Charlie,Bravo,Northeast,
55,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,16,GSO review options to obtain sufficent setback distance for facility to meet 65' OSPB requirements. ,,Alpha,Charlie,Bravo,Northeast,
56,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,45,"Add Vehicle barrier does have emergency override, visual indication of barrier status, or barrier height is equal or greater than 36 inches ",,Alpha,Charlie,Bravo,Northeast,
57,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,59,Upgrade building exterior surfaces lighting ,,Alpha,Charlie,Bravo,Northeast,
58,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,80,Conduct a blast vulnerability study ,,Alpha,Charlie,Bravo,Northeast,
59,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,85,Upgrade building exterior walls construction to substantial material construction ,,Alpha,Charlie,Bravo,Northeast,
60,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Charlie,Bravo,Northeast,
61,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Alpha,Charlie,Bravo,Northeast,
62,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,102,Upgrade roll-up-down doors with doors of substantial material ,,Alpha,Charlie,Bravo,Northeast,
63,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Charlie,Bravo,Northeast,
64,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Charlie,Bravo,Northeast,
65,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Charlie,Bravo,Northeast,
66,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Charlie,Bravo,Northeast,
67,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,172,Close off all but one designated door for all Lock and Leave facilities. ,,Alpha,Charlie,Bravo,Northeast,
68,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,176,Install approved Lock and Leave door ,,Alpha,Charlie,Bravo,Northeast,
69,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,17,GSO review options to obtain sufficent setback distance for Warehouse to meet 20' OSPB requirements. ,,Alpha,Charlie,Bravo,Northeast,
70,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,61,Upgrade Roof Surfaces lighting ,,Alpha,Charlie,Bravo,Northeast,
71,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Alpha,Charlie,Bravo,Northeast,
72,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,89,Upgrade building exterior doors with strong and robust with RSO-approved hardware ,,Alpha,Charlie,Bravo,Northeast,
73,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,172,Close off all but one designated door for all Lock and Leave facilities. ,,Alpha,Charlie,Bravo,Northeast,
74,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,176,Install approved Lock and Leave door ,,Alpha,Charlie,Bravo,Northeast,
75,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Alpha,Delta,Bravo,Northeast,
76,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,10,Upgrade perimeter walls and fences are constructed with sufficient height ,,Alpha,Delta,Bravo,Northeast,
77,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,25,Upgrade CAC to provide a guard booth that meets all OSPB requirements. ,,Alpha,Delta,Bravo,Northeast,
78,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,43,Widen traffic lane. ,,Alpha,Delta,Bravo,Northeast,
79,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Delta,Bravo,Northeast,
80,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,59,Upgrade building exterior surfaces lighting ,,Alpha,Delta,Bravo,Northeast,
81,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,68,Upgrade Pedestrian entrances lighting ,,Alpha,Delta,Bravo,Northeast,
82,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,84,Upgrade building exterior by grilling man passable openings ,,Alpha,Delta,Bravo,Northeast,
83,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Delta,Bravo,Northeast,
84,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Alpha,Delta,Bravo,Northeast,
85,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,107,Construct protection for any hardline penetrations ,,Alpha,Delta,Bravo,Northeast,
86,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,119,Consular/Interview/Other Public Access Areas: Upgrade Teller windows to 5 min. FE/BR ,,Alpha,Delta,Bravo,Northeast,
87,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,125,Review all secure rooms not located in a CAA to determine if they need to be moved or upgraded. ,,Alpha,Delta,Bravo,Northeast,
88,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,144,Upgrade facility to have sufficient safe havens or safe haven space for all assigned staff ,,Alpha,Delta,Bravo,Northeast,
89,Deficient,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,151,Upgrade safe haven to have secured storage for emergency supplies ,,Alpha,Delta,Bravo,Northeast,
90,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,192,"Relocate EC room to a dedicated room, behind the interior hardline, as close to the MSG/Guard booth as possible ",,Alpha,Delta,Bravo,Northeast,
91,Deficient,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,2,Construct corridors and walls contiguous to non-US Gov. controlled spaces meet 5 min. FE protection and extend from the ceiling slab to floor slab. ,,Alpha,Delta,Bravo,Northeast,
92,Deficient,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,34,Upgrade Demarcation utility room street side door to provide 5 min. FE with exterior keyed cylinders for the forced entry locks ,,Alpha,Delta,Bravo,Northeast,
93,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Delta,Bravo,Northeast,
94,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Delta,Bravo,Northeast,
95,Deficient,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,93,"Upgrade emergency exit doors with electric emergency lock, override and panic exit device ",,Alpha,Delta,Bravo,Northeast,
96,Deficient,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,119,Consular/Interview/Other Public Access Areas: Upgrade Teller windows to 5 min. FE/BR ,,Alpha,Delta,Bravo,Northeast,
97,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Delta,Bravo,Northeast,
98,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Delta,Bravo,Northeast,
99,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Delta,Bravo,Northeast,
100,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,7,Upgrade perimeter walls and fences to provide DS certified anti-ram specification in areas where vehicle approach is possible ,,Alpha,Charlie,Delta,Northeast,
101,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,9,Upgrade perimeter walls and fences are constructed with sufficient height ,,Alpha,Charlie,Delta,Northeast,
102,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Alpha,Charlie,Delta,Northeast,
103,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,19,"Create a clear zone, free of all visual obstructions that would conceal an intruder, for a distance of 20 feet inward from the protected side of the perimeter wall or fence ",,Alpha,Charlie,Delta,Northeast,
104,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,39,Upgrade Local guard barrier control with an annunciator that sounds when barrier is in non-secure position for 0 to 60 sec ,,Alpha,Charlie,Delta,Northeast,
105,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,48,Upgrade to DS approved vehicle barrier. ,,Alpha,Charlie,Delta,Northeast,
106,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Charlie,Delta,Northeast,
107,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,62,Upgrade Building entrances lighting ,,Alpha,Charlie,Delta,Northeast,
108,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,71,Upgrade Open Areas lighting ,,Alpha,Charlie,Delta,Northeast,
109,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Charlie,Delta,Northeast,
110,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,93,"Upgrade emergency exit doors with electric emergency lock, override and panic exit device ",,Alpha,Charlie,Delta,Northeast,
111,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,112,Upgrade MSG/Guard booth to provide six sided protection. ,,Alpha,Charlie,Delta,Northeast,
112,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,113,Upgrade MSG/Guard booth with emergency power source ,,Alpha,Charlie,Delta,Northeast,
113,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Charlie,Delta,Northeast,
114,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,157,Upgrade routes to safe areas with protection from ballistic or mob attack ,,Alpha,Charlie,Delta,Northeast,
115,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Charlie,Delta,Northeast,
116,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,192,"Relocate EC room to a dedicated room, behind the interior hardline, as close to the MSG/Guard booth as possible ",,Alpha,Charlie,Delta,Northeast,
117,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,9,Residential building,Residence,65,Upgrade Residence entrance and hallways lighting ,,Alpha,Charlie,Delta,Northeast,
118,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,9,Residential building,Residence,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Charlie,Delta,Northeast,
119,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,9,Residential building,Residence,93,"Upgrade emergency exit doors with electric emergency lock, override and panic exit device ",,Alpha,Charlie,Delta,Northeast,
120,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,9,Residential building,Residence,96,Upgrade Residential Apartment building exterior door to hollow metal door with vision panel and access control hardware. ,,Alpha,Charlie,Delta,Northeast,
121,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,9,Residential building,Residence,144,Upgrade facility to have sufficient safe havens or safe haven space for all assigned staff ,,Alpha,Charlie,Delta,Northeast,
122,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,9,Residential building,Residence,150,"Upgrade safe haven to have emergency power, ventilation and lighting ",,Alpha,Charlie,Delta,Northeast,
123,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,73,Upgrade Water approaches lighting ,,Alpha,Charlie,Delta,Northeast,
124,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Alpha,Charlie,Delta,Northeast,
125,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Charlie,Delta,Northeast,
126,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,102,Upgrade roll-up-down doors with doors of substantial material ,,Alpha,Charlie,Delta,Northeast,
127,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Charlie,Delta,Northeast,
128,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,172,Close off all but one designated door for all Lock and Leave facilities. ,,Alpha,Charlie,Delta,Northeast,
129,Deficient,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,10,"Warehouse, multipurpose",Warehouse,176,Install approved Lock and Leave door ,,Alpha,Charlie,Delta,Mid-Altlantic,
130,Conforming,5,39.5096° N,76.1641° W,Consular facility,Abdereen MD,11,"Office, consular",Office building,1,600_600_600 Contiguous Office Space ,,Charlie,Bravo,Alpha,Mid-Altlantic,
131,Deficient,5,39.5096° N,76.1641° W,Consular facility,Abdereen MD,11,"Office, consular",Office building,4,Construct a privacy fence separates housing from Chancery/Consulate area ,,Charlie,Bravo,Alpha,Mid-Altlantic,
132,Conforming,5,39.5096° N,76.1641° W,Consular facility,Abdereen MD,11,"Office, consular",Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Charlie,Bravo,Alpha,Mid-Altlantic,
