Group,Measure ID,Shorthand,Description,Guidance No.,Guidance Description,Threat 1 Avg Perf,Threat 2 Avg Perf,Threat 3 Avg Perf
11,106,protection106,,,,0.168639436,0.690181841,0.277645334
11,107,protection107,,,,0.050479288,0.122827042,0.524621814
11,108,protection108,,,,0.729238277,0.810627639,0.935566282
11,109,protection109,,,,0.429460985,0.739228765,0.614345571
12,110,protection110,,,,0.697747538,0.677568509,0.158535037
12,111,protection111,,,,0.096599089,0.958506172,0.491477409
12,112,protection112,,,,0.415886814,0.797906772,0.473564962
12,113,protection113,,,,0.620357655,0.638100113,0.103911803
12,114,protection114,,,,0.946177877,0.487124072,0.934765446
12,115,protection115,,,,0.290949228,0.890868899,0.373451132
12,116,protection116,,,,0.876007082,0.04837884,0.260242054
12,117,protection117,,,,0.382420218,0.742800929,0.599517899
12,118,protection118,,,,0.980950355,0.68163096,0.72507489
12,119,protection119,,,,0.064065346,0.209189157,0.22988466
13,120,protection120,,,,0.640808411,0.548124177,0.55439054
13,121,protection121,,,,0.168880981,0.998604798,0.483651167
13,122,protection122,,,,0.029932805,0.656045591,0.723862758
13,123,protection123,,,,0.104845329,0.632955753,0.651505753
13,124,protection124,,,,0.951784976,0.858049589,0.478482383
13,125,protection125,,,,0.992136726,0.353829562,0.592535338
13,126,protection126,,,,0.038953813,0.565313621,0.214840767
13,127,protection127,,,,0.326027777,0.719602648,0.513701524
13,128,protection128,,,,0.548394902,0.695069025,0.723228896
13,129,protection129,,,,0.818618363,0.001850665,0.909713307
14,130,protection130,,,,0.256035821,0.680685201,0.901853151
14,131,protection131,,,,0.018355721,0.410824567,0.83712402
14,132,protection132,,,,0.952211194,0.177252312,0.711674709
14,133,protection133,,,,0.695557756,0.265319157,0.485608781
14,134,protection134,,,,0.187156055,0.729178185,0.583681545
14,135,protection135,,,,0.601220908,0.668632534,0.208274276
14,136,protection136,,,,0.764162543,0.33578752,0.519443066
14,137,protection137,,,,0.140738994,0.680867717,0.029213111
14,138,protection138,,,,0.2824978,0.23722606,0.538573946
14,139,protection139,,,,0.500921982,0.071364356,0.242499164
15,140,protection140,,,,0.791078021,0.265155614,0.90939959
15,141,protection141,,,,0.422640174,0.341813899,0.294442282
15,142,protection142,,,,0.684941593,0.567646963,0.089247348
15,143,protection143,,,,0.045561985,0.846544442,0.856674976
15,144,protection144,,,,0.679986623,0.662879983,0.348363326
15,145,protection145,,,,0.174927889,0.753008862,0.986844748
15,146,protection146,,,,0.331350583,0.887541634,0.37823943
15,147,protection147,,,,0.887398487,0.493767682,0.296284927
15,148,protection148,,,,0.118796678,0.378713926,0.735869392
15,149,protection149,,,,0.564362593,0.532088306,0.435607542
16,150,protection150,,,,0.850471581,0.488914141,0.810584137
16,151,protection151,,,,0.000340238,0.838352633,0.992244235
16,152,protection152,,,,0.341792818,0.198087027,0.683708995
16,153,protection153,,,,0.097501596,0.17373609,0.273054446
16,154,protection154,,,,0.416647223,0.080463172,0.898859872
16,155,protection155,,,,0.97529741,0.297649858,0.359682594
16,156,protection156,,,,0.431951225,0.776046665,0.235525851
16,157,protection157,,,,0.201680627,0.744646453,0.794580941
16,158,protection158,,,,0.55910174,0.492844507,0.684572325
16,159,protection159,,,,0.922850959,0.570533969,0.285987163
17,160,protection160,,,,0.577173427,0.274265802,0.065888332
17,161,protection161,,,,0.271839248,0.124005437,0.184680066
17,162,protection162,,,,0.327368105,0.845719626,0.622978763
17,163,protection163,,,,0.911911583,0.212489152,0.227192361
17,164,protection164,,,,0.357346674,0.370476729,0.720242595
17,165,protection165,,,,0.339122044,0.523041833,0.608350439
17,166,protection166,,,,0.987441891,0.325188313,0.411499272
17,167,protection167,,,,0.191813461,0.405012128,0.01580228
17,168,protection168,,,,0.359112024,0.776981724,0.633633894
17,169,protection169,,,,0.468758033,0.129598663,0.625722946
18,170,protection170,,,,0.649925673,0.444254962,0.728499122
18,171,protection171,,,,0.857973714,0.212827174,0.446520714
18,172,protection172,,,,0.023148767,0.200549114,0.557186028
18,173,protection173,,,,0.156864627,0.440914396,0.251954471
18,174,protection174,,,,0.455051278,0.338949207,0.66864808
18,175,protection175,,,,0.061583696,0.041851403,0.367899975
18,176,protection176,,,,0.104047139,0.04574216,0.872572291
18,177,protection177,,,,0.722161767,0.077751151,0.111976796
18,178,protection178,,,,0.913859908,0.38521364,0.566746649
18,179,protection179,,,,0.696011723,0.115737567,0.380615287
19,180,protection180,,,,0.781520471,0.061064838,0.596199484
19,181,protection181,,,,0.529950696,0.518243899,0.093777328
19,182,protection182,,,,0.201479662,0.708284869,0.502871309
19,183,protection183,,,,0.171562436,0.72521167,0.514494438
19,184,protection184,,,,0.052035341,0.645336318,0.693100789
19,185,protection185,,,,0.712405834,0.262902084,0.99732756
19,186,protection186,,,,0.262774721,0.925803359,0.926116717
19,187,protection187,,,,0.233445217,0.625348419,0.59334853
19,188,protection188,,,,0.717932625,0.911767619,0.430696349
19,189,protection189,,,,0.264475002,0.87228453,0.189792167
20,190,protection190,,,,0.499177555,0.43074025,0.019452866
20,191,protection191,,,,0.410960338,0.361946823,0.397031472
20,192,protection192,,,,0.430609649,0.66735737,0.204978163
20,193,protection193,,,,0.049791739,0.766593436,0.398449188
